"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator Data by Lower Layer Super Output Areas - Households With No Central Heating"
""

Filters:
Indicator: Population living in households with no central heating (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Isle of Anglesey 004E ","W01000043 ",2.2406639004,1.7094017094,1.4598540146,2.1216407355,3.0303030303,1.3698630137,0,3.3707865169,0,1.1111111111,1.6949152542,5.2631578947,1.25,1.2820512821,1.5625,1.2048192771,2.8571428571,4.6511627907,3.4090909091,2.9850746269,4.5454545455,3.0303030303,0
"Isle of Anglesey 004F ","W01000044 ",1.8356643357,1.1299435028,1.4018691589,1.6491754123,2.6666666667,2.0833333333,0,1.5873015873,2.7027027027027,2.1276595745,0,0,3.0303030303,3.6144578313,0,2.5974025974,1.3333333333,1.0101010101,3.1914893617,1.1494252874,4.4444444444,5.1282051282,0
"Isle of Anglesey 007A ","W01000001 ",7.279344859,8.9430894309,10.135135135,8.3072100313,4.7337278107,10.256410256,12.121212121,5.8823529412,16,1.7543859649,14.814814815,17.142857143,6.25,9.8591549296,6.1728395062,8.4337349398,6.976744186,6.1403508772,5.4945054945,6.4935064935,1.6666666667,9.2592592593,0
"Isle of Anglesey 007B ","W01000002 ",6.0965954078,4.7393364929,5.577689243,6.9553805774,4.8275862069,3.1746031746,10.344827586,2.2222222222,10,6.3291139241,4.0816326531,14.754098361,2.380952381,3.3707865169,6.4102564103,11.214953271,6.7567567568,5.9405940594,0,3.7974683544,1.8518518519,18.421052632,10.344827586
"Isle of Anglesey 007C ","W01000009 ",6.2533404596,3.3333333333,4,6.2607204117,9.2753623188,0.9090909091,4.2016806723,4.5801526718,7.69230769230769,9.9099099099,6.862745098,0.9433962264,1.8691588785,6.8702290076,3.9735099338,7.9365079365,11.363636364,5.1851851852,5.2631578947,9.7826086957,11.111111111,13.725490196,11.764705882
"Isle of Anglesey 007D ","W01000023 ",4.4128113879,3.7656903766,4.1379310345,4.7461368653,3.8461538462,5.8823529412,4,2.0833333333,5.88235294117647,4.1666666667,7.1428571429,1.6129032258,3.2608695652,0.9009009009,6.25,5.9405940594,8.8888888889,3.738317757,4.0540540541,3.0769230769,6.6666666667,0,3.8461538462
"Isle of Anglesey 007E ","W01000024 ",2.694828842,1.6706443914,1.9313304721,2.4249422633,10.227272727,1.0526315789,0.8620689655,3.5398230088,4.25531914893617,0,0.8771929825,0,2.9702970297,3.3898305085,2.7397260274,7.1428571429,5.8823529412,3.5087719298,0,9.5238095238,10,28.571428571,60
"Isle of Anglesey 002A ","W01000010 ",3.536977492,2.7559055118,2.2292993631,4.5,2.2875816993,4.1095890411,2.8169014085,1.8181818182,0,2.4390243902,10,7.8947368421,4.2253521127,3.1578947368,3.0534351145,5.6737588652,3.90625,5.421686747,1.7543859649,1.4184397163,3.8167938931,3.488372093,1.2048192771
"Isle of Anglesey 002B ","W01000020 ",4.7981721249,0,0.4329004329,4.9744897959,7.1216617211,0,0,0,2.56410256410256,3.1746031746,4.5454545455,0,3.7735849057,4.5977011494,8.9887640449,7.0707070707,2.8571428571,6.6666666667,3.4482758621,6.8181818182,3.9215686275,20,3.7037037037
"Isle of Anglesey 002C ","W01000021 ",6.7948144837,4.7619047619,5.51558753,6.9093610698,7.7477477477,7.2727272727,2.0618556701,4.6511627907,8.64197530864197,10.9375,10.752688172,2.0833333333,6,7.0866141732,6.8571428571,4.2424242424,5.487804878,7.8341013825,5.4187192118,5.1851851852,6.976744186,12.5,16.949152542
"Isle of Anglesey 002D ","W01000032 ",5.2631578947,4.347826087,4.1884816754,6.3683304647,3.7267080745,2.2727272727,2.1739130435,7.0422535211,3.33333333333333,5,0,0,12.5,1.6129032258,7.4626865672,4.0540540541,1.5384615385,15.92920354,5.8823529412,2.6315789474,0,0,8.5714285714
"Isle of Anglesey 005A ","W01000005 ",4.8553719008,2.9411764706,3.7974683544,7.0577451879,1.5706806283,2.5,4.854368932,1.1235955056,9.09090909090909,9.3220338983,9.5744680851,5.3097345133,7.1428571429,5.4945054945,3.3613445378,5.9829059829,10.869565217,5.6603773585,2.1276595745,2,0,1.9801980198,1.4492753623
"Isle of Anglesey 005B ","W01000013 ",3.1838565022,2.6595744681,2.2222222222,3.3008252063,3.2629558541,3.0303030303,2.6548672566,2.4390243902,0,3.1746031746,5.1948051948,3.2258064516,2.6315789474,3.2894736842,5.9602649007,3.0864197531,3.3519553073,2.4390243902,1.7045454545,3.1007751938,5.1020408163,5.9701492537,1.9607843137
"Isle of Anglesey 005C ","W01000019 ",4.3328748281,3.4682080925,4.0909090909,6.3144329897,1.5841584158,5.1282051282,0,4.5454545455,6.38297872340426,12.5,8.1632653061,5.5555555556,5.8823529412,6.4102564103,7.9545454545,7,3.9215686275,3.7267080745,3.0303030303,0.7142857143,1.0309278351,0,3.2786885246
"Isle of Anglesey 005D ","W01000026 ",6.4597315436,2.7397260274,2.808988764,6.432748538,8.0110497238,2.6315789474,2.5641025641,2.8985507246,3.125,4.1095890411,2.7027027027,6.1224489796,1.8867924528,3.4090909091,6.3291139241,4.347826087,18.987341772,7.2,12.592592593,10.256410256,4.1666666667,0,2.7777777778
"Isle of Anglesey 005E ","W01000035 ",4.8004314995,4.5454545455,4.3126684636,5.2315608919,3.6842105263,5.6603773585,5.6179775281,2.6548672566,3.17460317460317,3.7037037037,5.9405940594,5,2.3529411765,4.0983606557,6.7669172932,7.2368421053,9.7014925373,2.380952381,3.2520325203,3.2608695652,2.7027027027,9.0909090909,0
"Isle of Anglesey 006A ","W01000006 ",5.8018252934,4.6808510638,4.2105263158,4.7082906858,9.9378881988,1.5151515152,6.8493150685,5.2083333333,2,4.3010752688,0,3.8961038961,2.1505376344,6.1403508772,5.2173913043,6.8181818182,3.8461538462,6.8493150685,9.5238095238,9.5238095238,6.3492063492,11.363636364,19.230769231
"Isle of Anglesey 006B ","W01000012 ",2.1563342318,2.0661157025,1.7361111111,1.9883040936,2.5839793282,4.1666666667,2.7027027027,0,0,3.75,5.3571428571,1.6666666667,0,1.9801980198,0,1.7857142857,1.9047619048,3.7037037037,1.0989010989,2.2222222222,2.8985507246,2.5974025974,5
"Isle of Anglesey 006C ","W01000014 ",1.2254901961,1.5345268542,1.2847965739,0.9273570325,1.9718309859,1.2658227848,1.652892562,1.7857142857,0,0,0.6993006993,0.7042253521,2.1276595745,1.4388489209,0.8,1.3513513514,1.5625,0,0.9523809524,1.1904761905,1.4925373134,7.0175438596,0
"Isle of Anglesey 006D ","W01000041 ",1.7296604741,0.9638554217,0.8385744235,1.7039403621,3.3816425121,1.9607843137,0.8620689655,0,0,0.8928571429,3.305785124,0,1.9230769231,0,1.8348623853,1.2987012987,2.2727272727,4.7619047619,1.5151515152,1.9230769231,8.5714285714,4.347826087,3.2258064516
"Isle of Anglesey 008A ","W01000008 ",3.4907597536,2.766798419,2.657807309,3.7037037037,3.4482758621,2.5974025974,6.6666666667,0,2.08333333333333,3.1914893617,5.6338028169,6.25,3,2.752293578,3.3707865169,3,2.9702970297,4.7619047619,3.0303030303,6.7567567568,1.9230769231,0,3.5714285714
"Isle of Anglesey 008B ","W01000011 ",4.3407043407,2.3622047244,2.9239766082,4.6913580247,4.2253521127,0,3.0303030303,4.0816326531,4.54545454545455,2.9411764706,7.5268817204,5.9523809524,5.5555555556,1.5625,6.8493150685,5.9523809524,2.5641025641,3.6585365854,3.0303030303,1.4084507042,5.1724137931,4.2553191489,9.5238095238
"Isle of Anglesey 008C ","W01000015 ",1.6469038208,2.0576131687,1.7123287671,1.6465422613,1.3736263736,0,2.8169014085,2.9702970297,0,1.1764705882,0,1.6393442623,2.5316455696,3.0927835052,3.5398230088,1.7094017094,0.8333333333,0.9090909091,2.752293578,1.2048192771,0,2.3255813953,0
"Isle of Anglesey 008D ","W01000042 ",1.7289719626,0.2512562814,0.4192872117,1.749271137,3.2432432432,0.6896551724,0,0,1.26582278481013,1.1695906433,2.0134228188,0.6535947712,0,1.2820512821,2.0833333333,3.3783783784,4.1379310345,0.9174311927,2.0618556701,3.5714285714,7.4626865672,1.4925373134,1.8181818182
"Isle of Anglesey 009A ","W01000007 ",5.4621848739,2.7131782946,3.4161490683,6.2618595825,5.0847457627,1.2820512821,1.2345679012,5.0505050505,6.25,12.790697674,2.7027027027,3.1746031746,2.9411764706,6.1403508772,9.1603053435,7.4626865672,6.106870229,4.5161290323,2.4193548387,4.9382716049,14.492753623,2.2727272727,0
"Isle of Anglesey 009B ","W01000025 ",7.5396825397,7.0381231672,7.1770334928,8.4112149533,5.1150895141,2.7777777778,5.3097345133,12.5,7.79220779220779,8.5365853659,11.340206186,5.4054054054,8.2568807339,8.7837837838,10.055865922,7.1428571429,10.236220472,5.9322033898,4.4247787611,2.0618556701,10.843373494,1.7857142857,7.1428571429
"Isle of Anglesey 009C ","W01000027 ",4.7830923248,2.1276595745,1.8134715026,5.2356020942,5.8823529412,0.826446281,1.2820512821,3.8461538462,0,6.4285714286,2.0833333333,5.1282051282,5.2631578947,4.8,4.5454545455,7.1428571429,8.8,4.6875,6.0344827586,5.6818181818,6,0,11.428571429
"Isle of Anglesey 009D ","W01000038 ",3.8634321653,2.1680216802,2.0089285714,4.207362885,4.1825095057,4,0.8333333333,1.6129032258,1.26582278481013,5.2631578947,2.0618556701,6.5934065934,3.3333333333,5.1612903226,4.8484848485,3.2679738562,4.2682926829,4.5977011494,6.4516129032,5.2631578947,0.9345794393,2.6666666667,2.7027027027
"Gwynedd 001A ","W01000062 ",4.4235924933,5.5555555556,4.8780487805,4.0252565114,8.6419753086,6.1538461538,0,12.5,0,3.5904255319,3.0769230769,4.5977011494,2.3529411765,4.2553191489,2.5,9.6153846154,10,11.764705882,3.7037037037,0,0,14.285714286,23.529411765
"Gwynedd 001B ","W01000076 ",2.2030651341,0.8196721311,0.6535947712,1.9736842105,4.3209876543,2.6315789474,0,0,0,2.2580645161,1.4705882353,2.5,2.1739130435,3.5714285714,4.1666666667,0,2.1739130435,0,3.9215686275,5.8823529412,3.8461538462,3.7037037037,4.1666666667
"Gwynedd 001C ","W01000077 ",3.6049026676,2.5806451613,2.1276595745,3.0798845043,7.2538860104,4.4776119403,2.6315789474,0,0,0.8639308855,2.2900763359,2.2988505747,3.5714285714,6.1538461538,1.4705882353,9.5238095238,16.279069767,9.8039215686,4.2553191489,0,7.8431372549,10.344827586,20.833333333
"Gwynedd 001D ","W01000091 ",3.7719298246,2.0661157025,2.0905923345,4.1237113402,4.9180327869,3.488372093,0,2.7777777778,2.22222222222222,2.5477707006,4.7058823529,3.3333333333,1.8181818182,1.8518518519,5.5555555556,4.6875,7.5471698113,10.169491525,2.9411764706,7.6923076923,4.7619047619,6.25,0
"Gwynedd 001E ","W01000092 ",6.1015370284,5.3571428571,5.1948051948,6.1191626409,6.3953488372,5.5555555556,9.375,2.2727272727,4.76190476190476,5.5905511811,6.5359477124,2.2988505747,11.290322581,8.064516129,8.5106382979,7.1428571429,12.820512821,8.8888888889,9.5238095238,11.111111111,3.0303030303,0,5.6603773585
"Gwynedd 002A ","W01000064 ",3.6235803137,0.7246376812,0.8163265306,3.6783575706,7.8947368421,0.7352941176,1.4388489209,0,1.31578947368421,4.1025641026,0.7633587786,0.9708737864,1.5151515152,5.303030303,5.6074766355,1.724137931,8.1081081081,8.7378640777,4.4943820225,7.2727272727,8.1632653061,5.1282051282,20.588235294
"Gwynedd 002B ","W01000072 ",1.3505908835,0.9708737864,0.7957559682,0.6205673759,4.1176470588,2.2727272727,1.0752688172,0,0,0,1.2345679012,1.4084507042,0,0.7462686567,0.8620689655,1.0416666667,1.9801980198,0,3.6585365854,4,2.6315789474,7.3529411765,2.5641025641
"Gwynedd 002C ","W01000075 ",3.5570469799,3.6885245902,3.1578947368,3.6259541985,3.0303030303,3.7974683544,4.7619047619,2.9411764706,0,3.4188034188,7.9365079365,2.3255813953,1.3888888889,6.8181818182,1.2658227848,3.6144578313,3.6363636364,1.4925373134,1.9607843137,2.4390243902,5.7692307692,2.7777777778,0
