"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator Data by Lower Layer Super Output Areas - Households With No Central Heating"
""

Filters:
Indicator: Population living in households with no central heating (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Wrexham 010A ","W01000352 ",1.3771186441,0.5952380952,0.4784688995,1.6949152542,1.0752688172,0,2.2222222222,0,0,0,2.2222222222,0,0,1.5151515152,2.2988505747,6.3492063492,0,2.8571428571,0,0,0,2.7777777778,4.5454545455
"Wrexham 010B ","W01000353 ",0.8658008658,0,0,1.1273957159,1.5267175573,0,0,0,0,1.8518518519,1.1363636364,1.8018018018,0,0.9090909091,2.6548672566,0,1.3888888889,0,0,0,4.347826087,0,5.5555555556
"Wrexham 010C ","W01000413 ",0.1406469761,0,0,0.1221001221,0.9433962264,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,4.5454545455,0,0
"Wrexham 010D ","W01000414 ",0.5542359462,0.2762430939,0.2487562189,0.5108556833,1.6949152542,0,0,0.9900990099,0,0,0.9009009009,0,0,2.4390243902,1.2820512821,0,0,0,4.8780487805,0,0,0,0
"Wrexham 010E ","W01000425 ",1.7680034498,1.09375,1.0526315789,2.2440392707,0.790513834,0.4273504274,1.0362694301,1.8779342723,0.833333333333333,2.5210084034,0,1.25,2.1126760563,2.380952381,3.2467532468,2.6315789474,3.9215686275,4.5454545455,0,0,2.380952381,2.6315789474,0
"Wrexham 011A ","W01000349 ",1.6847826087,0.5988023952,0.5277044855,1.3502779984,4.8582995951,0,2.0833333333,0,0,1.935483871,0.5780346821,0,0.6944444444,3.0120481928,1.4184397163,1.9417475728,1.0204081633,2.7027027027,0,3.0303030303,4.4444444444,8.1081081081,16.666666667
"Wrexham 011B ","W01000350 ",3.9113428944,1.3215859031,2.5830258303,4.0540540541,7.3170731707,1.9417475728,0,1.8518518519,9.09090909090909,2.962962963,3.0042918455,2.027027027,1.4814814815,4.7058823529,6.0975609756,6.4935064935,10.344827586,7.6923076923,2.5641025641,7.8947368421,14.285714286,6.6666666667,10
"Wrexham 011C ","W01000365 ",0.8106819266,0,0,1.0467550593,0.5524861878,0,0,0,0,0,1.1173184358,0.8474576271,0,1.6129032258,1.7543859649,0.6622516556,1.7341040462,2.380952381,1.5625,0,0,0,0
"Wrexham 011D ","W01000402 ",3.0337941628,2.557544757,2.4017467249,2.5627883137,7.2519083969,0.6024096386,4.2105263158,3.8461538462,1.49253731343284,1.3227513228,1.871657754,3.1390134529,1.3333333333,3.0674846626,2.5,4.7297297297,4.4247787611,6,7.7922077922,6.3492063492,9.4339622642,4.6511627907,7.6923076923
"Wrexham 012A ","W01000381 ",1.0657193606,0,0,0.9817671809,2.0661157025,0,0,0,0,0,0,1.3157894737,1.6949152542,1.3513513514,0,0,3.0769230769,2.4691358025,0,4.8387096774,2.1739130435,0,2.2222222222
"Wrexham 012B ","W01000382 ",1.6744186047,2.0942408377,1.7316017316,1.4569536424,2.3255813953,5,1.5384615385,0,0,2.7397260274,0,2.2988505747,0,1.2658227848,2.6315789474,4.2857142857,0,1.4084507042,0,2.380952381,4.5454545455,6.6666666667,0
"Wrexham 012D ","W01000423 ",1.0304659498,0,0.293255132,1.1525423729,3.9735099338,0,0,0,2.63157894736842,2.3255813953,0.8097165992,0,0,1.1363636364,1.4598540146,0,1.3333333333,5.1282051282,3.5714285714,5.2631578947,0,11.764705882,0
"Wrexham 012E ","W01000424 ",1.9778481013,0,0,1.7045454545,5.4945054945,0,0,0,0,0,1.1627906977,0,0,0,2.7027027027,4.347826087,3.9603960396,3.3333333333,4.347826087,9.0909090909,0,3.7037037037,12.5
"Wrexham 012F ","W01001929 ",3.4241245136,2.7777777778,2.4154589372,3.2528856243,5.2631578947,1.1363636364,2.1276595745,6.6666666667,0,1.0928961749,2.9239766082,0.9174311927,3.6144578313,2.6666666667,3.8461538462,5.8823529412,2.7397260274,11.594202899,6.6666666667,4.6511627907,0,0,18.75
"Wrexham 012G ","W01001931 ",3.9068369647,0,0,4.3112513144,5.6701030928,0,0,0,0,6.6666666667,5.0955414013,0.8620689655,1.0309278351,4.1666666667,5.376344086,3.2786885246,5.5555555556,7.8125,11.627906977,7.0175438596,0,4.1666666667,3.125
"Wrexham 006A ","W01000347 ",1.1693548387,0.3816793893,0.3442340792,1.3150371641,1.9323671498,0,0.6369426752,0.6711409396,0,1.4492753623,1.7647058824,0.7692307692,0,1.1363636364,2.4844720497,3.5211267606,0,1.1904761905,0,3.6363636364,3.0303030303,0,12.5
"Wrexham 006B ","W01000348 ",0.5490734386,0,0,0.5624296963,1.4150943396,0,0,0,0,0,0,0,0,0,1.9607843137,2.2727272727,0,1.5151515152,1.4925373134,0,2.9411764706,3.8461538462,0
"Wrexham 006C ","W01000362 ",2.8122956181,1.4450867052,1.7326732673,2.8542303772,4.9504950495,0,1.0638297872,3.0534351145,3.44827586206897,2.2727272727,0,1.0101010101,2.4096385542,2.5641025641,4.6728971963,7.6923076923,1.0204081633,3.9473684211,4.8192771084,5.4545454545,3.8461538462,4.1666666667,7.1428571429
"Wrexham 006D ","W01000363 ",0.3335557038,0,0,0.5458515284,0,0,0,0,0,0,0,0,0,0,3.2258064516,0.8849557522,0,1.0869565217,0,0,0,0,0
"Wrexham 006E ","W01000364 ",2.5830258303,1.0067114094,0.8356545961,3.0927835052,2.2988505747,2.3255813953,0,0.8064516129,0,4.2735042735,0,2.380952381,0.9009009009,2.7777777778,4.2253521127,4.0404040404,4.2372881356,5.0420168067,1.9417475728,0,6.5217391304,4.7619047619,0
"Wrexham 013A ","W01000398 ",0.9132420091,0,0,1.3095238095,0.4032258065,0,0,0,0,0,1.5873015873,0,2.2222222222,0,0,4.6728971963,2.4390243902,0,0,0,2.7777777778,0,0
"Wrexham 013B ","W01000399 ",0.8635578584,0,0,0.9222661397,1.5463917526,0,0,0,0,0,0,1.8181818182,3.0769230769,0,0,1.0638297872,0.8771929825,2.1505376344,3.0769230769,0,2.4390243902,0,0
"Wrexham 013C ","W01000406 ",1.9954648526,0.7518796992,0.9836065574,2.1536252692,3.5714285714,0,0.5988023952,1.5873015873,2.56410256410256,0,0,2.8735632184,4.2735042735,2.3121387283,2.7027027027,2.1582733813,2.6315789474,2.6845637584,1.9801980198,3.1746031746,3.5714285714,7.5,5
"Wrexham 013D ","W01000408 ",0.6756756757,0,0,1.0781671159,0,0,0,0,0,0,0,0,0,0,3.1914893617,3.8961038961,2.6315789474,0,0,0,0,0,0
"Wrexham 014A ","W01000366 ",1.0316368638,0.3311258278,0.2865329513,1.0822510823,1.7543859649,0,1.2658227848,0,0,0.9708737864,0.9009009009,0,3.4090909091,0,0,3.125,1.2048192771,1.2048192771,3.0769230769,1.7857142857,1.6666666667,0,0
"Wrexham 014B ","W01000367 ",1.7611026034,0.3921568627,0.6289308176,1.7103762828,4.0229885057,0,1.1363636364,0,1.58730158730159,0,1.4705882353,4.6875,3.0303030303,0,1.5037593985,0,5,1.2820512821,0,2.3255813953,5.4054054054,6.25,9.5238095238
"Wrexham 014C ","W01000385 ",0.5142857143,0,0,0.8189262966,0,0,0,0,0,0,0,2.0202020202,0,0.7874015748,1.724137931,0.641025641,2.2900763359,0,0,0,0,0,0
"Wrexham 014D ","W01000410 ",2.5782688766,3.3444816054,3.0555555556,1.9493177388,3.9473684211,1.7094017094,6.25,2.9411764706,1.63934426229508,1.9230769231,2.8846153846,3.6363636364,0.8403361345,2.6548672566,1.5748031496,1.1494252874,1.0752688172,1.8518518519,7.4074074074,2.9411764706,3.3333333333,0,5.7142857143
"Wrexham 015A ","W01000386 ",0.5936675462,0.625,0.5319148936,0.5015045135,1.0050251256,0,1.0416666667,0.9259259259,0,0,0.7462686567,0.9900990099,0,0,1.0869565217,1.0989010989,1.5151515152,0,0,2.2727272727,2.8571428571,0,0
"Wrexham 015B ","W01000405 ",1.0591350397,1.0416666667,1.0463378176,0.933908046,1.677852349,1.3333333333,1.2987012987,0.5076142132,1.0752688172043,0,1.25,0.6993006993,1.4492753623,0.6024096386,0.7575757576,0,1.5267175573,2.1276595745,2.0202020202,1.5384615385,0,0,5.7142857143
"Wrexham 015C ","W01000411 ",2.5284450063,1.582278481,1.6393442623,2.3036649215,4.1800643087,2.1276595745,1.1235955056,1.1627906977,2,7.1428571429,1.1494252874,0,0.9259259259,1.0416666667,1.6806722689,3.5714285714,3.0927835052,1.0309278351,3.3333333333,0,5.8823529412,4.1666666667,7.6923076923
"Wrexham 015D ","W01000412 ",1.9509125236,0.7142857143,0.5865102639,1.8164435946,3.8022813688,0.9433962264,0,1.0869565217,0,0,0,0,1.9047619048,1.8348623853,3.4965034965,1.9230769231,4.7619047619,2.6086956522,1.1494252874,1.4705882353,4.5454545455,10.714285714,8.3333333333
"Wrexham 016A ","W01000394 ",2.1960784314,0.8968609865,0.7326007326,2.0618556701,4.469273743,2.380952381,0,0.9090909091,0,0,5,8.3333333333,0,0.8620689655,2.4390243902,0.7874015748,2.9126213592,2.8571428571,0,2.2727272727,16.666666667,8.6956521739,0
"Wrexham 016B ","W01000395 ",1.8315018315,0,0,1.485884101,4.3668122271,0,0,0,0,0,1.6393442623,0,3.3333333333,0,1.3513513514,2.380952381,2.8571428571,2.0408163265,1.3698630137,3.6363636364,4.7619047619,10,5.2631578947
"Wrexham 016C ","W01000407 ",1.3343217198,0.4385964912,0.3610108303,1.7201834862,0.8032128514,0,0,1.4492753623,0,1.3157894737,1.4492753623,0,0,0,1.9230769231,6.6666666667,5.6338028169,0.9345794393,0,0,1.5873015873,0,6.25
"Wrexham 016D ","W01000419 ",1.6545334216,1.1235955056,1.4117647059,1.3347022587,4.4198895028,2.6548672566,0,0.7246376812,2.89855072463768,0,1.8867924528,0,0.9009009009,1.4184397163,0.9009009009,0,4.7619047619,1.6949152542,1.6393442623,4.4444444444,16,3.7037037037,0
"Wrexham 016E ","W01000420 ",3.0324909747,0.826446281,1.0101010101,3.579175705,3.1674208145,0,1.6129032258,1.3333333333,1.81818181818182,6.7307692308,1.0526315789,0.9900990099,5.8139534884,0,6.0606060606,4.4444444444,4.9382716049,4.0404040404,1.6393442623,0,2.0408163265,4.7619047619,9.6774193548
"Wrexham 017A ","W01000354 ",2.511682243,1.4492753623,1.4204545455,2.5711662075,3.1700288184,1.2048192771,1.2345679012,1.7857142857,1.31578947368421,3.738317757,2.1052631579,2.4096385542,1.0638297872,4.2553191489,2.3255813953,1.8867924528,1.724137931,3.5211267606,4.5871559633,2.2471910112,2.5974025974,2.8571428571,2.7027027027
"Wrexham 017B ","W01000355 ",2.8858218319,2.1978021978,1.8461538462,3.036437247,3.003003003,1.0526315789,3.5294117647,2.1505376344,0,0,1.9607843137,3.8834951456,3.2258064516,1.7391304348,3.8834951456,1.9607843137,7.2164948454,5.8823529412,3.2258064516,1.3888888889,1.4285714286,9.0909090909,1.8518518519
"Wrexham 017C ","W01000356 ",1.4043300176,1.0309278351,1.2765957447,1.7608897127,0.4132231405,1.7391304348,0,1.2048192771,2.4390243902439,2.2222222222,3.6363636364,1.4285714286,0.9615384615,0,3.9682539683,0,2.2471910112,0.8771929825,1.0869565217,0,0,0,0
"Wrexham 017D ","W01000389 ",1.6050583658,0.2512562814,0.4264392324,1.7788089714,2.4657534247,0.8064516129,0,0,1.40845070422535,2.2556390977,0,0,1.2195121951,0,1.775147929,3.6496350365,2.3255813953,4.1666666667,1.8691588785,2.5316455696,1.25,5.1724137931,2.4390243902
"Wrexham 017E ","W01000409 ",1.2645422357,0.1721170396,0.4573170732,1.5926236379,2.4630541872,0.3745318352,0,0,2.66666666666667,1.3274336283,1.8633540373,2.4,0.8849557522,0.7692307692,1.8867924528,1.3333333333,2.1978021978,1.0989010989,2.8169014085,1.5384615385,5,0,0
"Wrexham 018A ","W01000345 ",1.711026616,0.7874015748,0.9966777409,1.4403292181,3.125,0,1.2195121951,0.9090909091,2.12765957446809,0,3.8461538462,0,3.4090909091,1.8018018018,0,0,1.3422818792,2.4844720497,3.4965034965,3.7974683544,2,0,4.8780487805
"Wrexham 018B ","W01000346 ",3.0112923463,1.0309278351,1.9178082192,2.8311425683,5.4140127389,2.6315789474,0,0.7518796992,5.40540540540541,2.5974025974,4.4444444444,3.5714285714,1.2195121951,4.5045045045,1.2578616352,1.5037593985,1.4598540146,5.2173913043,4.6296296296,4.7619047619,5.4545454545,5,11.111111111
"Wrexham 018C ","W01000403 ",3.2428355958,2.2624434389,2.5,3.1901840491,4.1379310345,1.9230769231,3.6585365854,1.1494252874,3.38983050847458,4.347826087,1.7857142857,4.9180327869,4.1666666667,2.8037383178,2.2988505747,3.8461538462,4.4444444444,0.9090909091,4.0816326531,5,3.7735849057,2.7777777778,4.6511627907
"Wrexham 018D ","W01000404 ",3.1722054381,1.5113350126,1.914893617,3.7674037674,2.9891304348,0.9090909091,3.1007751938,0.6329113924,4.10958904109589,4.2553191489,5.8252427184,6.1855670103,0.9009009009,2.1390374332,1.8867924528,5.7324840764,4,4.2857142857,3.6036036036,5,3.4090909091,0,0
"Wrexham 019C ","W01000359 ",1.8803418803,1.9230769231,1.6129032258,1.5075376884,3.6144578313,0,2.9850746269,2.9850746269,0,1.3888888889,0,1.5384615385,1.2048192771,1.0204081633,3.2258064516,1.5873015873,1.0638297872,2.9702970297,3.3333333333,2.2222222222,6.4516129032,0,5.5555555556
"Wrexham 019D ","W01000360 ",1.9123505976,1.5151515152,1.5432098765,2.0632737276,1.8939393939,1.3513513514,0,2.5862068966,1.66666666666667,2.7777777778,0,1.724137931,1.4705882353,2.2222222222,2.4096385542,2.9126213592,2.6666666667,1.3888888889,2.8169014085,3.2258064516,0,2.1739130435,0
"Wrexham 019E ","W01000361 ",1.0427010924,0.5221932115,0.8733624454,1.4913657771,0,0.7518796992,0,0.6711409396,2.66666666666667,1.5384615385,0.8333333333,0.7936507937,2.9411764706,0,1.8987341772,0.7575757576,3.937007874,0,0,0,0,0,0
"Wrexham 019F ","W01001930 ",2.9892573564,0.8130081301,1.0822510823,3.3182503771,3.8116591928,0.8928571429,0,1.2987012987,2.1505376344086,0.9900990099,4.2253521127,3.738317757,1.724137931,4.1420118343,3.8709677419,4.6783625731,3.2467532468,3.1746031746,5.6,3.4782608696,3.2967032967,3.125,1.9607843137
"Powys 001A ","W01000461 ",5.1965356429,4.1044776119,4.1800643087,5.8823529412,4.126984127,5.0632911392,3.488372093,3.8834951456,4.65116279069767,3.7037037037,4.8192771084,6.8493150685,8.2352941176,7.6923076923,5.9405940594,5.1546391753,6.5934065934,5.2631578947,4.5977011494,6.8493150685,3.8961038961,0,2.7027027027
"Powys 001D ","W01000470 ",4.150737302,5.3191489362,5.3824362606,3.758020165,4.3668122271,3.7974683544,2.8985507246,7.4626865672,5.63380281690141,2.9411764706,1.2048192771,3.4090909091,2.0833333333,3.3333333333,5.4263565891,4.2016806723,4.1095890411,4.3795620438,3.305785124,2.7272727273,7.6086956522,2.6315789474,6.7796610169
"Powys 001E ","W01000475 ",5.0675675676,3.5812672176,3.9045553145,4.7983310153,6.7019400353,3.2967032967,3.7735849057,3.6144578313,5.10204081632653,1.4598540146,4.4943820225,3.0769230769,4.854368932,2.8735632184,7.9439252336,3.2085561497,5.6179775281,6.7357512953,8.040201005,3.0303030303,7.6923076923,6.5789473684,8.9285714286
"Powys 001F ","W01001906 ",5.6404849763,3.8596491228,3.5616438356,6.0034305317,5.8295964126,3.5294117647,5.8823529412,2.6086956522,2.5,6.7415730337,9.375,7.4626865672,8.1632653061,8.3333333333,1.8633540373,6.0402684564,7.2463768116,5.5,4.5454545455,9.4736842105,5.7471264368,6.3829787234,2.4390243902
"Powys 001G ","W01001907 ",5.9363957597,5.1587301587,4.8231511254,5.6712962963,7.3578595318,5.7142857143,4.9382716049,4.9504950495,3.38983050847458,2.5,8.1632653061,12.5,2.0618556701,8.0808080808,4.2735042735,7.6086956522,3.8834951456,7.5,8.8888888889,9.3333333333,5.9701492537,9.375,0
"Powys 002A ","W01000444 ",2.1129797326,1,1.0706638116,2.2743947175,2.5179856115,1.7857142857,1.9047619048,0,1.49253731343284,1.3605442177,3.488372093,3.5294117647,2.6548672566,2.6666666667,3.0487804878,2.3121387283,1.1560693642,1.9512195122,1.9736842105,0.7936507937,3.0303030303,2.0618556701,6.0975609756
"Powys 002B ","W01000457 ",3.1948881789,2.2831050228,2.3346303502,3.8636363636,2.07852194,5.0505050505,2.6666666667,0.5291005291,2.63157894736842,7.8651685393,6.3291139241,6.25,1.2345679012,3.2258064516,3.4682080925,1.8987341772,6.3829787234,3.125,3.355704698,0.9433962264,2.3255813953,2,0
"Powys 002C ","W01000458 ",2.8571428571,1.5432098765,1.8666666667,3.5087719298,2.1164021164,2.0833333333,2.6785714286,0,3.92156862745098,3.6144578313,2.2988505747,4.3956043956,1.0526315789,4,5.8823529412,2.3255813953,3.4722222222,3.4188034188,2.9702970297,0,2.6315789474,0,6.25
"Powys 003A ","W01000498 ",3.8361508453,2.3102310231,2.4930747922,3.8054968288,5.5363321799,0,3.7974683544,3.305785124,3.44827586206897,2.3076923077,5.7471264368,1.0869565217,4.9382716049,8,1.8518518519,2.5210084034,4.5977011494,4.7619047619,6.9444444444,9.6774193548,5.9701492537,1.724137931,0
"Powys 003B ","W01000499 ",1.7470881864,0.9049773756,0.7518796992,1.6839378238,2.8708133971,1.3333333333,0,1.1111111111,0,1.0204081633,1.9607843137,1.4925373134,0,0,6.0240963855,1.3333333333,1.9230769231,2.8169014085,6.5217391304,3.1746031746,0,0,4.1666666667
"Powys 003C ","W01000500 ",1.9053876478,0.3717472119,0.8670520231,2.1276595745,2.6315789474,1.25,0,0,2.5974025974026,3.1578947368,0,1.4084507042,1.0526315789,0.9345794393,2.1897810219,2.6086956522,3.6697247706,2.8846153846,2.4691358025,3.3333333333,0,0,6.976744186
"Powys 003D ","W01000501 ",3.2360984503,1.7994858612,1.9736842105,3.8990825688,2.615694165,2.5210084034,0,2.7210884354,2.98507462686567,2.7972027972,3.3333333333,4.5454545455,4.6296296296,2.4844720497,6.1349693252,5.46875,3.6496350365,2.9239766082,1.4285714286,3.6363636364,4.5454545455,2.6666666667,1.1904761905
"Powys 005A ","W01000428 ",3.9969834087,2.0833333333,2.9166666667,4.3050430504,4.3613707165,2.3255813953,3.8461538462,1.0309278351,6.25,2.1052631579,4.8780487805,6.976744186,0,5.4945054945,3.5714285714,3.3613445378,2.3529411765,7.2463768116,6.7961165049,1.5384615385,1.3698630137,8.3333333333,3.125
"Powys 005B ","W01000441 ",3.8270729979,1.4981273408,2.2364217252,4.4280442804,4.2296072508,1.1764705882,2.7027027027,0.9259259259,6.52173913043478,5.4054054054,1.8518518519,5,7.9545454545,4.5871559633,3.2967032967,3.6144578313,3.9215686275,2.8301886792,5.7142857143,7.3170731707,3.4482758621,0,0
"Powys 005C ","W01000476 ",3.4749034749,1.8518518519,1.8450184502,3.8309114927,3.7267080745,4.8387096774,0,1.0204081633,1.81818181818182,3.8961038961,0,0,4.4117647059,2.1739130435,7.9207920792,4.7619047619,4.0540540541,4.3103448276,5,4.5454545455,3.6363636364,3.0303030303,0
"Powys 005D ","W01000497 ",3.7788663401,2.6315789474,2.8011204482,3.4441805226,6.0070671378,3.7037037037,1.0638297872,3.1007751938,3.77358490566038,5,7.6923076923,0,3.5714285714,3.6036036036,0.7692307692,4.8780487805,3.125,4.2372881356,4.8192771084,6.976744186,6.3492063492,5.8823529412,5.8823529412
"Powys 004A ","W01000442 ",7.3050345508,4.1791044776,4.1558441558,8.2872928177,6.8396226415,2.9702970297,6.0240963855,3.9735099338,4,7.2580645161,7.4074074074,3.9215686275,8.8235294118,8.2278481013,7.2463768116,9.9415204678,10.828025478,9.7826086957,4.5454545455,12.121212121,5.2631578947,5.1724137931,6.7796610169
"Powys 004B ","W01000452 ",5.0777202073,3.1545741325,3.0690537084,5.0699300699,6.3965884861,2.5974025974,3.0303030303,3.5460992908,2.7027027027027,7.8947368421,6.8965517241,4.7619047619,4.6728971963,6.4,4.0540540541,5.9171597633,2.6490066225,5.6701030928,4.9382716049,9.0163934426,6.9444444444,4.6875,6.1224489796
"Powys 004C ","W01000473 ",3.6868456987,2.736318408,2.5,4.041146216,3.4562211982,1.6,1.8518518519,4.1420118343,1.28205128205128,2.8776978417,2.4193548387,2.9850746269,1.4388489209,2.7027027027,10.948905109,3.7037037037,4.8611111111,5.7692307692,1,2.8037383178,5.2631578947,4.4776119403,4.6153846154
"Powys 006A ","W01000433 ",3.4110535406,3.081232493,2.7210884354,2.6166902405,5.6880733945,2.4590163934,2.479338843,4.3859649123,1.19047619047619,2.7972027972,0,1.7699115044,6.1946902655,2.0979020979,1.9108280255,3.4482758621,1.1976047904,4,4.5977011494,8.0291970803,3.9603960396,6.4935064935,5.3571428571
"Powys 006B ","W01000460 ",4.6485888213,5.9459459459,5.5066079295,4.6279491833,3.2835820896,1.0989010989,8.9285714286,6.5868263473,3.57142857142857,3.3333333333,3.3898305085,5.4054054054,5.2083333333,2.5,5.4545454545,5.1851851852,3.4482758621,7.5187969925,2.6315789474,3.1914893617,4.0816326531,4.4444444444,3.0303030303
"Powys 006C ","W01000488 ",4.5161290323,1.3368983957,1.5555555556,4.4655929722,7.4418604651,0.9345794393,0,2.4390243902,2.63157894736842,2.5641025641,4.9019607843,3.75,1.7094017094,1.8181818182,2.6455026455,6.5476190476,6.3829787234,8.5308056872,7.1428571429,8.1818181818,12.5,4.6511627907,1.9607843137
"Powys 007A ","W01000434 ",5.3365676167,3.8596491228,3.9886039886,4.9163179916,7.3529411765,7.6923076923,3.2967032967,1.724137931,4.54545454545455,2.9850746269,1.8867924528,0,3.3333333333,8.8709677419,5.1851851852,2.8571428571,7.874015748,4.8951048951,9.2857142857,9.5238095238,4.7058823529,2.3255813953,5.7142857143
"Powys 007B ","W01000439 ",2.4477307496,2.2222222222,2.3094688222,2.3673469388,2.9255319149,4.4444444444,1.6129032258,1.3698630137,2.73972602739726,1.1111111111,1.2345679012,4.6511627907,1.8348623853,0.6666666667,1.9230769231,4,1.3986013986,3.743315508,3.8759689922,0.9900990099,3.2258064516,4.0816326531,2.8571428571
"Powys 007C ","W01000447 ",2.5815879201,1.3550135501,1.5486725664,2.7983539095,2.9850746269,3.2258064516,0.8196721311,0.6493506494,2.40963855421687,1.0204081633,3.125,1.1494252874,1.9230769231,2.614379085,5.6179775281,0,0.6666666667,6.6666666667,4.347826087,2.752293578,2.3529411765,1.2987012987,3.3333333333
"Powys 008A ","W01000480 ",2.1912350598,0.283286119,0.4474272931,2.897473997,1.2944983819,0.7936507937,0,0,1.06382978723404,4.2780748663,2.0134228188,4.0983606557,4.5454545455,1.5384615385,2.7210884354,3.821656051,3.1496062992,0.8130081301,0,1.7857142857,0,4,2.1739130435
"Powys 008B ","W01000481 ",0.705778562,0.5602240896,0.6802721088,0.7087172218,0.8016032064,0.8771929825,0.9803921569,0,1.19047619047619,1.4184397163,0.8333333333,0.8695652174,0,1.3605442177,0.5714285714,1.3157894737,0,0,0,1.7543859649,1.0638297872,1.25,0
"Powys 008C ","W01000482 ",2.453653217,1.4705882353,2.2613065327,3.0195381883,1.6304347826,0,2.2222222222,2.0408163265,6.89655172413793,3.5211267606,4.6296296296,2.3255813953,0.9708737864,3.7313432836,1.5267175573,4.6296296296,2.6785714286,1.3888888889,1.8181818182,1.0638297872,2.7027027027,1.8181818182,0
"Powys 009A ","W01000478 ",0.5698005698,0,0.1742160279,0.9090909091,0,0,0,0,1.36986301369863,1.4598540146,0,0.7633587786,0,0,0.8474576271,4.2105263158,0,1.1904761905,0,0,0,0,0
"Powys 009B ","W01000479 ",0.8130081301,0.5263157895,0.4535147392,0.7865168539,1.4563106796,0.7692307692,0.9174311927,0,0,0,2.1276595745,2.0202020202,1.1764705882,0,1.0869565217,0,0,1.5873015873,1.5625,2.2727272727,0,0,3.4482758621
"Powys 009C ","W01000483 ",0.5302226935,0.4056795132,0.3418803419,0.4359197908,1.2195121951,0,0.6666666667,0.5376344086,0,0.7692307692,0,0.8474576271,0.9433962264,0,0,0,0,1.8018018018,1.1904761905,1.4705882353,0,3.5714285714,0
"Powys 010A ","W01000429 ",4.5334507042,4.5092838196,4.0598290598,4.9635036496,3.4285714286,6.0606060606,4.3859649123,3.6585365854,2.1978021978022,3.2786885246,1.6949152542,8.8607594937,4.9019607843,4.2168674699,6.432748538,4.5226130653,5.7471264368,5.7971014493,1.5625,3.5714285714,4.6511627907,3.3898305085,8.3333333333
"Powys 010B ","W01000453 ",5.4131054131,5.5793991416,4.609929078,5.311778291,5.5737704918,5.4545454545,7.2463768116,4.5871559633,0,8.5365853659,10,6.1224489796,2.9411764706,1.9801980198,4.5871559633,6.2015503876,6.3636363636,6.4748201439,5.6603773585,3.7037037037,3.4482758621,7.6923076923,11.764705882
"Powys 010C ","W01000466 ",1.7946877243,0.7575757576,0.9230769231,1.9083969466,2.332361516,0,0,1.9230769231,1.63934426229508,1.1111111111,1.5384615385,0,1.4492753623,1.1235955056,1.0526315789,2.1276595745,5.0847457627,4.2105263158,1.2195121951,2.380952381,1.5625,2.6315789474,5.4054054054
"Powys 010D ","W01000467 ",3.0140656397,2.6315789474,2.5641025641,3.0335861322,3.1578947368,0,0,6.7567567568,2.27272727272727,0.8,0,0,5.5555555556,3.5398230088,3.0612244898,7.0707070707,2.6315789474,5.4054054054,0,5.1948051948,3.4482758621,3.3333333333,5.1724137931
"Powys 011A ","W01000427 ",4.4191019244,2.0833333333,2.8169014085,4.2016806723,6.6666666667,0,1.724137931,3.2,6.81818181818182,5.4945054945,3.5087719298,0,2.3529411765,0,5.504587156,2.1978021978,8.2474226804,4.8275862069,4.2735042735,4.9382716049,7.5757575758,5.7142857143,19.35483871
"Powys 011B ","W01000448 ",2.8673835125,3.6885245902,3.7931034483,3.1438935913,1.5432098765,5.3571428571,1.4492753623,4.2016806723,4.34782608695652,2.3255813953,1.724137931,1.8867924528,2.6666666667,4.6728971963,1,2.4691358025,7.476635514,1.7543859649,2.1276595745,1.1764705882,0,4.0816326531,0
"Powys 011C ","W01000449 ",2.5949367089,0.796812749,0.9493670886,2.7253668763,3.4666666667,0,0,1.7391304348,1.53846153846154,0,0,1.5873015873,1.0309278351,2.0833333333,5.2173913043,4.8076923077,1.8018018018,5.6338028169,3.2520325203,3.7974683544,4.1095890411,3.4482758621,2.380952381
"Powys 011D ","W01000464 ",6.5164923572,7.9365079365,7.7253218884,7.1625344353,4.2682926829,8,6.4516129032,9.0909090909,6.81818181818182,5.8823529412,9.6774193548,0,6.3829787234,8.4210526316,8.4210526316,8.3333333333,7.1428571429,6.7164179104,2.5862068966,4.8192771084,3.2786885246,10.256410256,3.4482758621
"Powys 011E ","W01000484 ",6.3926940639,3.7558685446,4.0145985401,6.1488673139,8.3969465649,2.3255813953,3.9473684211,4.2553191489,4.91803278688525,8.6956521739,9.3023255814,0,4.7619047619,2.1739130435,4.347826087,9.5238095238,6.6666666667,7.4712643678,9.6296296296,12.871287129,6.1538461538,2.0833333333,4.5454545455
"Powys 011F ","W01000485 ",3.2967032967,3.9548022599,4.6610169492,4.4917257683,1.1450381679,2,2.380952381,5.8823529412,6.77966101694915,5.4794520548,6.6666666667,0,1.9607843137,4.1095890411,5.7692307692,5.4054054054,5.3571428571,2.3952095808,0.6134969325,0.8695652174,0.9259259259,2.9411764706,1.4285714286
