"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Layer Super Output Areas - Overcrowded Households"
""

Filters:
Indicator: People living in overcrowded households (bedrooms measure) (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Isle of Anglesey 007A ","W01000001 ",3.1847133758,6.5040650407,6.7567567568,3.4482758621,1.4792899408,7.6923076923,6.0606060606,5.8823529412,8,12.280701754,1.8518518519,2.8571428571,3.125,7.0422535211,2.4691358025,2.4096385542,1.1627906977,0,2.1978021978,1.2987012987,1.6666666667,0,1.7857142857
"Isle of Anglesey 007B ","W01000002 ",5.2256532067,8.5308056872,8.3665338645,6.0367454068,0.6896551724,9.5238095238,5.1724137931,10,7.5,11.392405063,8.1632653061,9.8360655738,4.7619047619,7.8651685393,1.2820512821,7.476635514,2.7027027027,1.9801980198,0,2.5316455696,0,0,0
"Isle of Anglesey 007C ","W01000009 ",4.4361304115,5.8333333333,5.4117647059,4.974271012,1.1594202899,2.7272727273,8.4033613445,6.106870229,3.07692307692308,14.414414414,7.8431372549,4.7169811321,4.6728971963,3.8167938931,3.3112582781,6.3492063492,1.5151515152,1.4814814815,0.8771929825,1.0869565217,3.7037037037,0,0
"Isle of Anglesey 007D ","W01000023 ",3.9145907473,3.7656903766,4.8275862069,4.8565121413,0.7692307692,2.9411764706,0,7.2916666667,9.80392156862745,8.3333333333,4.7619047619,3.2258064516,3.2608695652,3.6036036036,3.5714285714,6.9306930693,6.6666666667,0.9345794393,0,0,1.6666666667,2.8571428571,0
"Isle of Anglesey 007E ","W01000024 ",6.0451565914,9.307875895,9.4420600858,5.0808314088,0,4.2105263158,12.068965517,15.044247788,10.6382978723404,5.0505050505,7.0175438596,4.6666666667,5.9405940594,4.2372881356,4.1095890411,3.5714285714,1.9607843137,3.5087719298,0,0,0,0,0
"Isle of Anglesey 002A ","W01000010 ",2.4115755627,5.5118110236,4.7770700637,2.3,1.3071895425,6.8493150685,8.4507042254,2.7272727273,1.66666666666667,7.3170731707,0,2.6315789474,1.4084507042,3.1578947368,3.8167938931,0,2.34375,1.2048192771,1.1695906433,1.4184397163,0.7633587786,1.1627906977,2.4096385542
"Isle of Anglesey 002B ","W01000020 ",2.7418126428,1.0416666667,2.1645021645,3.8265306122,1.1869436202,3.7735849057,0,0,7.69230769230769,11.111111111,7.5757575758,0,3.7735849057,3.4482758621,2.2471910112,5.0505050505,0.9523809524,1.4814814815,1.724137931,2.2727272727,0,0,0
"Isle of Anglesey 002C ","W01000021 ",3.1738936075,4.7619047619,5.035971223,3.4918276374,1.4414414414,4.5454545455,4.1237113402,5.4263565891,6.17283950617284,12.5,3.2258064516,2.0833333333,4,2.3622047244,5.1428571429,1.2121212121,1.8292682927,0,1.4778325123,0.7407407407,1.1627906977,2.7777777778,1.6949152542
"Isle of Anglesey 002D ","W01000032 ",1.6917293233,3.1055900621,3.664921466,2.2375215146,0,0,2.1739130435,5.6338028169,6.66666666666667,5,2.2727272727,3.8461538462,7.5,0,0,2.7027027027,1.5384615385,0,0,0,0,0,0
"Isle of Anglesey 005A ","W01000005 ",4.958677686,15.441176471,14.873417722,4.6746104491,0.5235602094,21.25,13.59223301,12.359550562,11.3636363636364,3.3898305085,13.829787234,7.9646017699,9.1836734694,2.1978021978,3.3613445378,0,1.4492753623,1.8867924528,1.4184397163,0.6666666667,0,0,0
