"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Super Output Area - Income Deprivation"
""

Filters:
Indicator: Income deprivation (percentage of population)
Year: 2017

"","All Ages ","","","","","","","","","","","","","","","All Ages "
"","0 - 15 ","0 - 18 ","16 - 64 ",65+ ,"0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 34 ","35 - 44 ","45 - 54 ","55 - 64 ","65 - 74 ",75+ ,"."
"Gwynedd 004A ",5,9,6,8,8,2,6,23,8,5,5,5,3,5,11,6
"Gwynedd 004B ",6,6,4,17,11,2,6,6,6,5,2,3,3,15,19,6
"Gwynedd 004C ",13,12,6,18,15,13,11,5,11,7,7,3,4,13,24,10
"Gwynedd 004D ",8,8,6,14,5,8,13,9,9,5,7,6,4,10,18,8
"Gwynedd 006A ",38,37,21,31,52,36,31,30,25,20,19,20,20,26,36,26
"Gwynedd 006B ",10,9,8,10,13,8,9,7,8,5,10,10,6,6,13,9
"Gwynedd 006C ",44,43,28,38,51,41,40,36,32,25,33,23,28,37,39,34
"Gwynedd 006D ",21,21,11,14,20,20,24,18,8,15,13,7,7,12,18,13
"Gwynedd 007A ",5,6,6,14,3,1,10,9,7,3,6,5,8,8,20,8
"Gwynedd 007B ",16,17,9,17,20,12,17,21,14,11,8,9,5,12,22,12
"Gwynedd 007C ",16,19,14,33,23,16,8,36,13,9,11,11,21,27,40,18
"Gwynedd 007D ",22,19,8,14,22,17,26,9,18,6,9,10,5,7,21,12
"Gwynedd 008A ",8,8,7,14,5,11,7,8,10,7,8,5,6,9,20,9
"Gwynedd 008B ",19,20,11,21,13,24,21,23,9,10,11,11,11,17,26,15
"Gwynedd 008C ",25,23,14,25,34,19,23,11,11,20,14,11,13,20,31,18
"Gwynedd 008D ",27,26,16,22,38,22,24,22,25,19,13,13,14,15,33,20
"Gwynedd 009A ",24,23,16,24,33,19,21,16,15,15,19,13,17,19,31,19
"Gwynedd 009B ",26,27,15,21,22,23,33,31,16,16,18,10,12,18,26,18
"Gwynedd 009C ",23,23,12,19,21,27,23,19,8,15,12,13,10,17,22,16
"Gwynedd 009D ",13,13,8,17,20,11,11,14,6,6,11,9,5,10,27,11
"Gwynedd 013A ",10,11,8,13,12,6,13,17,6,6,8,9,7,9,17,10
"Gwynedd 013B ",27,24,9,12,39,18,26,12,13,9,18,6,5,6,19,12
"Gwynedd 013C ",19,17,8,12,29,23,7,10,14,7,6,7,7,10,15,11
"Gwynedd 013D ",13,13,8,12,20,10,12,12,8,12,9,6,7,9,17,10
"Gwynedd 015A ",19,19,11,19,24,14,17,19,9,10,10,9,13,12,25,14
"Gwynedd 015B ",17,17,8,16,12,13,25,19,7,10,11,8,5,10,29,11
"Gwynedd 015C ",19,17,6,19,30,26,6,3,10,8,8,3,5,14,30,11
"Gwynedd 015D ",8,9,5,12,5,7,11,17,3,4,4,5,6,9,17,7
"Gwynedd 016A ",25,24,12,14,22,27,26,22,10,13,10,12,9,12,18,15
"Gwynedd 016B ",17,17,12,13,25,14,14,13,10,15,14,13,8,13,14,13
"Gwynedd 016C ",11,10,7,8,8,14,12,7,7,5,10,11,5,7,9,8
"Gwynedd 016D ",7,9,9,8,11,4,8,16,10,9,12,8,6,8,9,9
"Gwynedd 016E ",14,13,11,15,22,11,12,9,17,10,12,8,12,17,14,13
"Gwynedd 017C ",27,26,14,15,24,28,29,23,15,17,18,11,11,12,18,16
"Gwynedd 017D ",13,14,8,12,18,7,15,25,10,6,13,5,6,10,13,10
"Gwynedd 017E ",22,22,14,26,17,26,21,28,9,12,13,17,13,23,28,18
"Gwynedd 017F ",15,15,6,11,10,22,13,16,4,5,8,7,4,8,15,9
"Gwynedd 010A ",10,11,10,15,13,8,8,20,7,9,7,11,10,9,24,11
"Gwynedd 010B ",18,16,7,11,22,13,18,7,6,7,11,9,3,8,14,10
"Gwynedd 010C ",14,14,9,17,20,13,11,12,12,9,6,8,8,13,22,12
"Gwynedd 010D ",9,10,6,9,12,7,11,13,5,4,5,6,5,4,14,7
"Gwynedd 010E ",16,13,9,16,23,9,14,4,14,12,5,8,10,14,19,12
"Gwynedd 011A ",9,8,6,17,14,9,6,4,3,11,6,4,8,12,22,10
"Gwynedd 011B ",16,18,10,13,13,11,21,28,8,11,11,11,5,9,17,12
"Gwynedd 011C ",22,21,12,32,22,18,25,17,11,12,11,14,13,23,44,18
"Gwynedd 011D ",10,10,5,14,8,11,10,10,5,3,5,5,5,10,21,8
"Gwynedd 012A ",18,20,8,13,17,15,23,27,4,10,8,9,5,11,17,11
"Gwynedd 012B ",17,17,8,12,25,16,13,14,15,6,9,6,5,9,14,10
"Gwynedd 012C ",20,17,8,17,20,18,22,6,9,7,10,8,7,10,26,12
"Gwynedd 012D ",18,19,13,21,20,18,17,21,17,9,12,12,13,17,25,15
"Gwynedd 012E ",24,23,13,23,31,28,17,17,11,15,15,11,11,20,25,18
"Gwynedd 014C ",18,17,7,19,22,18,14,14,4,8,9,6,7,11,26,13
"Gwynedd 014D ",5,7,5,12,2,7,6,20,2,5,4,4,6,8,16,7
"Gwynedd 014E ",9,8,6,15,7,6,13,5,7,5,6,5,6,9,24,9
"Conwy 001A ",16,17,19,15,16,13,20,23,11,16,26,23,16,14,15,17
"Conwy 001B ",27,27,16,16,32,31,19,24,16,14,17,18,12,11,21,17
"Conwy 001C ",13,15,10,20,14,9,15,24,10,12,6,9,10,14,26,15
"Conwy 001D ",13,12,17,30,14,9,19,5,12,10,19,23,22,28,33,20
"Conwy 001E ",36,32,20,36,43,52,20,15,17,18,19,20,30,29,45,27
"Conwy 002A ",20,18,7,7,27,21,17,11,14,11,8,6,3,4,10,8
"Conwy 002B ",38,38,20,24,40,44,32,32,24,20,19,15,19,19,31,24
"Conwy 002C ",46,46,33,44,51,54,37,45,32,35,31,31,28,43,45,38
"Conwy 002D ",18,17,9,11,24,12,17,16,14,12,7,9,6,10,13,11
"Conwy 003A ",6,6,4,10,5,16,1,9,5,5,4,4,4,10,10,7
"Conwy 003B ",5,5,4,11,8,5,4,4,4,5,3,3,5,6,17,6
"Conwy 003C ",6,6,4,7,13,5,3,5,6,6,2,3,4,4,12,5
"Conwy 003D ",8,7,3,6,8,6,9,3,9,5,2,3,2,4,9,5
"Conwy 004A ",10,9,8,13,15,4,12,7,9,12,6,5,9,9,17,10
"Conwy 004B ",7,7,9,18,7,4,8,11,6,6,15,8,9,15,20,13
"Conwy 004C ",30,31,19,30,29,30,30,38,20,10,24,20,22,28,32,23
"Conwy 004D ",16,16,8,11,22,23,8,17,12,17,8,5,6,6,15,10
"Conwy 006A ",3,3,4,7,0,2,4,4,4,3,4,5,4,4,10,5
"Conwy 006B ",14,15,8,11,11,17,14,19,9,7,9,8,7,9,12,10
"Conwy 006C ",8,8,4,6,9,6,10,6,2,5,6,3,2,5,8,5
"Conwy 006D ",25,24,11,17,21,27,27,22,10,11,9,12,8,12,24,15
"Conwy 007A ",16,15,9,18,26,13,11,11,17,10,7,7,6,10,27,12
"Conwy 007B ",35,33,18,20,36,32,38,19,22,20,23,18,11,19,22,22
"Conwy 007C ",55,54,46,32,60,50,53,51,70,44,37,41,46,34,30,46
"Conwy 007D ",39,39,31,23,77,23,30,38,45,32,32,28,26,22,23,29
"Conwy 008A ",22,22,20,27,41,20,11,25,37,21,14,18,16,22,32,22
"Conwy 008B ",24,24,17,26,18,33,24,21,21,19,13,16,20,21,33,21
"Conwy 008C ",4,4,5,6,4,4,3,8,5,5,7,5,3,5,8,5
"Conwy 008D ",10,9,5,8,10,15,6,1,9,7,4,4,6,4,13,7
"Conwy 008E ",12,9,10,22,15,7,13,4,7,12,16,12,7,16,25,14
"Conwy 011C ",31,31,17,20,30,23,39,34,21,17,15,16,13,19,23,21
"Conwy 011D ",32,30,14,25,32,34,29,22,10,15,10,17,16,15,36,19
"Conwy 011E ",35,31,11,11,48,40,23,16,18,16,14,4,7,7,17,14
"Conwy 011F ",11,10,5,8,13,9,11,5,7,6,4,6,5,6,11,7
"Conwy 005A ",34,34,21,25,32,35,37,32,20,22,15,22,20,20,31,24
"Conwy 005B ",26,27,13,20,28,26,26,28,16,17,15,7,11,15,27,17
"Conwy 005C ",28,29,18,24,22,28,34,38,18,17,12,21,17,20,29,21
"Conwy 005D ",29,27,15,24,27,30,30,17,20,16,11,13,17,16,33,20
"Conwy 005E ",39,38,17,23,36,37,43,32,16,21,15,15,14,20,29,22
"Conwy 009A ",17,16,9,13,26,16,10,10,17,11,9,8,7,10,17,12
"Conwy 009B ",53,54,33,27,58,49,52,60,39,32,36,31,22,21,33,36
"Conwy 009C ",20,21,14,20,29,19,14,26,9,17,16,10,13,16,24,16
"Conwy 009D ",11,11,9,12,17,15,3,13,30,8,8,7,6,9,15,10
"Conwy 009E ",59,57,33,38,46,63,68,51,32,33,41,30,18,30,57,41
"Conwy 009F ",21,20,9,16,26,19,18,16,11,10,9,8,7,12,23,13
"Conwy 010B ",36,34,18,20,55,28,28,25,26,25,15,11,15,17,24,22
"Conwy 010C ",18,18,8,11,11,19,23,20,7,3,11,13,4,9,12,10
"Conwy 010D ",5,5,3,6,4,9,3,5,3,4,5,2,3,4,9,5
"Conwy 010E ",42,41,26,28,41,45,41,35,33,22,25,27,24,29,26,30
"Conwy 010F ",3,4,6,13,2,6,3,12,10,5,5,5,5,9,17,8
"Conwy 010G ",31,33,16,15,27,28,37,43,14,19,13,15,13,14,17,19
"Conwy 010H ",51,52,37,27,89,27,54,57,45,30,44,39,30,26,30,36
"Conwy 012A ",11,9,6,8,16,10,8,3,10,9,5,5,5,7,10,7
"Conwy 012B ",33,33,18,29,43,39,21,34,17,16,21,15,18,22,38,23
"Conwy 012C ",7,8,6,10,6,5,10,11,5,3,6,6,7,8,12,7
"Conwy 012D ",14,14,6,8,17,12,13,12,6,9,7,5,4,4,14,8
"Conwy 013A ",19,18,12,21,25,15,19,11,12,14,12,11,11,19,25,15
"Conwy 013B ",26,21,9,11,24,28,25,1,12,14,14,10,5,7,15,12
"Conwy 013C ",26,23,10,8,22,25,31,11,22,15,9,6,6,5,12,12
"Conwy 013D ",25,25,16,17,24,30,23,21,15,18,16,19,11,13,21,18
"Conwy 013E ",40,37,19,44,47,38,33,22,18,24,20,15,19,40,49,26
"Conwy 014A ",9,9,6,14,9,4,14,10,3,7,8,6,5,9,23,8
"Conwy 014B ",12,11,6,13,11,10,17,5,7,6,9,3,5,9,17,8
"Conwy 014C ",13,14,7,13,11,14,14,17,8,6,7,5,6,8,19,9
"Conwy 014D ",5,6,4,16,3,4,9,10,3,3,4,6,4,13,20,7
"Conwy 015A ",10,12,7,11,12,6,12,22,8,8,2,5,6,5,19,8
"Conwy 015B ",18,18,12,24,22,17,16,15,12,10,10,12,15,13,34,17
"Conwy 015C ",9,10,6,8,16,3,9,12,11,7,3,6,6,5,12,7
"Conwy 015D ",17,18,10,27,20,18,13,23,9,9,10,9,8,22,33,14
"Conwy 015E ",17,18,9,15,16,6,26,24,6,14,14,6,6,11,20,12
"Conwy 015F ",9,11,6,14,12,9,8,20,1,5,9,6,5,10,20,8
"Denbighshire 001A ",25,23,15,30,22,19,34,19,14,16,18,8,20,21,37,20
"Denbighshire 001B ",26,27,16,23,23,33,24,29,19,17,15,12,13,18,30,20
"Denbighshire 001C ",24,26,14,18,31,14,19,37,32,7,15,15,13,13,23,17
"Denbighshire 002A ",36,34,21,32,39,46,25,25,25,15,18,19,26,27,37,26
"Denbighshire 002B ",23,23,15,29,31,21,20,23,12,17,16,13,13,23,36,20
"Denbighshire 002C ",10,9,6,5,8,11,10,6,14,9,7,4,2,4,6,6
"Denbighshire 002D ",35,32,18,29,39,32,34,19,18,15,23,14,21,24,35,23
"Denbighshire 003A ",15,15,8,11,18,9,17,18,12,9,7,6,7,8,14,10
"Denbighshire 003B ",37,35,17,23,33,47,34,26,19,17,20,14,17,22,24,22
"Denbighshire 003C ",22,21,13,20,24,23,19,13,7,16,14,9,14,14,28,16
"Denbighshire 008A ",16,15,8,14,13,17,16,12,11,7,7,8,7,12,17,10
"Denbighshire 008B ",26,26,15,27,30,26,21,28,14,18,14,14,14,21,39,20
"Denbighshire 008C ",40,38,16,18,39,43,36,31,12,24,13,12,12,14,21,21
"Denbighshire 008D ",11,11,5,9,11,11,13,7,4,3,6,5,5,7,13,7
"Denbighshire 010A ",17,16,8,13,16,16,20,8,10,8,8,7,6,8,19,11
"Denbighshire 010B ",14,15,12,21,9,18,15,23,9,12,13,9,14,16,29,14
"Denbighshire 010C ",13,13,8,13,11,15,12,12,13,6,9,9,6,10,16,10
"Denbighshire 004A ",36,37,19,28,45,32,35,41,19,19,16,22,15,22,36,25
"Denbighshire 004B ",19,19,13,26,29,10,23,15,17,15,7,14,14,21,35,18
"Denbighshire 004C ",28,28,29,59,28,35,24,25,31,25,26,33,33,30,91,36
"Denbighshire 004D ",69,65,43,53,80,61,61,47,33,48,47,45,42,42,71,49
"Denbighshire 004E ",88,87,57,59,66,100,100,81,52,50,83,61,37,58,59,63
"Denbighshire 004F ",66,68,39,37,64,63,73,81,36,36,42,39,29,34,45,46
"Denbighshire 006A ",55,53,31,49,54,55,56,39,24,31,32,29,34,44,59,40
"Denbighshire 006B ",57,56,37,42,60,53,58,52,34,43,32,35,35,41,44,44
"Denbighshire 006C ",30,29,16,20,43,24,28,25,24,14,14,13,13,12,33,19
"Denbighshire 009A ",17,18,11,14,14,15,21,27,14,12,10,10,8,9,21,13
"Denbighshire 009B ",16,16,7,8,26,13,10,15,8,13,6,5,4,6,11,9
"Denbighshire 009C ",23,22,11,14,29,24,15,19,11,19,8,8,9,9,20,14
"Denbighshire 009D ",19,17,13,17,32,15,12,10,15,11,11,18,14,13,23,15
"Denbighshire 017E ",32,32,19,19,34,31,30,35,25,22,23,18,12,18,21,21
"Denbighshire 017F ",13,16,9,20,15,18,9,36,11,10,5,9,6,15,26,13
"Denbighshire 017A ",23,22,14,27,34,20,19,17,18,15,10,13,14,25,29,19
"Denbighshire 017B ",30,30,12,21,28,36,29,28,12,14,14,6,10,13,33,17
"Denbighshire 017C ",30,28,15,26,33,32,24,20,21,17,14,12,12,21,31,20
"Denbighshire 017G ",45,46,27,42,42,49,45,54,31,22,25,31,20,32,57,34
"Denbighshire 017D ",11,11,9,23,16,4,11,11,19,8,7,7,7,16,36,12
"Denbighshire 011A ",25,24,17,19,26,25,25,15,16,16,20,17,14,19,19,18
"Denbighshire 011B ",37,38,25,34,43,34,33,43,25,23,21,30,21,31,37,29
"Denbighshire 011C ",35,32,15,17,41,25,38,24,18,23,17,10,11,9,27,19
"Denbighshire 012A ",6,6,3,8,6,6,6,4,10,2,4,1,3,7,10,5
"Denbighshire 012B ",9,9,5,9,6,10,11,10,5,5,5,4,4,6,12,6
"Denbighshire 012C ",8,9,6,18,13,7,6,11,8,4,6,5,6,10,28,9
"Denbighshire 012D ",8,8,4,11,8,9,6,8,2,6,4,4,3,8,16,6
"Denbighshire 013A ",6,7,4,11,7,6,6,10,2,7,7,4,2,6,18,6
"Denbighshire 013B ",3,3,3,9,2,4,4,1,3,6,3,3,2,5,13,5
"Denbighshire 013C ",6,6,5,13,5,2,9,7,5,5,7,6,3,9,19,7
"Denbighshire 014A ",19,19,12,20,21,16,21,15,9,12,9,16,14,15,26,15
"Denbighshire 014B ",17,14,9,16,24,20,10,6,10,15,10,8,7,10,21,12
"Denbighshire 014C ",5,5,4,6,4,3,7,6,5,6,5,2,3,3,9,5
"Denbighshire 015A ",21,21,11,19,26,24,13,22,14,12,10,11,8,10,33,15
"Denbighshire 015B ",8,9,4,10,8,6,11,10,1,5,6,5,3,6,18,6
"Denbighshire 015C ",8,8,5,8,10,7,5,12,6,5,4,5,4,6,12,6
"Denbighshire 016A ",16,17,9,12,15,11,22,21,8,4,12,10,8,8,18,11
"Denbighshire 016B ",9,10,5,14,6,17,7,11,2,6,4,6,3,11,20,8
"Denbighshire 016C ",8,7,9,16,11,5,9,3,6,4,6,11,12,13,21,11
"Denbighshire 016D ",24,24,11,18,9,30,32,23,11,12,9,8,10,14,22,15
"Denbighshire 016E ",11,11,8,12,6,21,9,9,12,9,10,8,6,6,21,10
"Flintshire 001A ",32,32,16,23,37,37,26,31,14,14,20,10,18,15,33,20
